Results from heasarc_nustarssc2: NuSTAR Serendipitous Survey 40-Month Secondary Source Catalog
Coordinate system: Equatorial
|name                 |ra          |dec         |sb_flux  |sb_flux_error|sb_net_counts|sb_net_counts_error|hb_flux  |hb_flux_error|hb_net_counts|hb_net_counts_error|redshift|rf_hardxray_luminosity|source_number|lii       |bii       |sb_counts|sb_bck_counts|hb_counts|hb_bck_counts|fb_counts|fb_bck_counts|fb_net_counts|fb_net_counts_error|sb_exposure|hb_exposure|fb_exposure|sb_net_rate|sb_net_rate_error|hb_net_rate|hb_net_rate_error|fb_net_rate|fb_net_rate_error|fb_flux  |fb_flux_error|softxray_ctrpart_orig|softxray_ctrpart_ra|softxray_ctrpart_dec|opt_ctrpart_orig|opt_ra      |opt_dec     |primary_exclude_code|
|NuSTAR J034403-4441.0|03 44 03.528|-44 41 04.23|4.569e-14|    1.677e-14|       37.036|             13.591|1.288e-13|    4.461e-14|       40.438|             14.008|   0.275|             3.939e+43|           13|251.613020|-51.467829|  123.201|       86.165|  131.905|       91.467|  255.107|      176.237|       78.869|             19.244|    61998.6|    52347.1|    54212.6|  1.327e-03|        4.872e-04|  1.717e-03|        5.947e-04|  3.233e-03|        7.888e-04|1.616e-13|    3.943e-14|CXO                  |       03 44 03.624|        -44 41 04.75|USNO            |03 44 03.511|-44 41 05.01|E                   |
|NuSTAR J101600-3329.6|10 16 00.870|-33 29 37.67|1.091e-13|    1.949e-14|       75.645|             13.520|1.207e-13|    4.485e-14|       30.857|             11.469|   0.231|             2.496e+43|           22|269.325228| 19.046724|  150.719|       75.073|  102.543|       71.686|  252.261|      145.853|      106.408|             17.479|    53042.9|    42627.6|    43765.2|  3.169e-03|        5.664e-04|  1.609e-03|        5.979e-04|  5.403e-03|        8.875e-04|2.700e-13|    4.436e-14|CXO                  |       10 16 01.220|        -33 29 35.50|MAN             |10 16 01.202|-33 29 34.65|T                   |
|NuSTAR J123559-3951.9|12 35 59.041|-39 51 57.96|2.212e-13|    2.165e-14|      210.827|             20.640|1.490e-13|   -9.900e+01|       52.927|            -99.000|   0.000|                      |           37|299.713346| 22.909053|  376.305|      165.477|  180.638|      150.480|  555.942|      309.261|      246.682|             25.170|    52915.6|    42967.2|    44203.5|  6.426e-03|        6.291e-04|  1.987e-03|       -9.900e+01|  9.001e-03|        9.184e-04|4.499e-13|    4.590e-14|CXO                  |       12 36 00.506|        -39 52 15.67|                |            |            |E                   |
|NuSTAR J181417+3411.6|18 14 17.515|+34 11 40.24|3.158e-14|    1.243e-14|       29.705|             11.691|7.630e-14|    2.913e-14|       32.076|             12.246|   0.714|             2.155e+44|           56| 61.220233| 22.027814|  106.854|       77.150|  117.447|       85.371|  222.301|      162.024|       60.277|             16.656|    52224.1|    50862.4|    51445.6|  9.174e-04|        3.611e-04|  1.017e-03|        3.883e-04|  1.890e-03|        5.222e-04|9.445e-14|    2.610e-14|XMM                  |       18 14 18.245|        +34 11 42.54|WISE            |18 14 18.161|+34 11 42.48|L                   |
|NuSTAR J155520-3315.1|15 55 20.005|-33 15 11.81|8.183e-14|    1.499e-14|       74.631|             13.672|9.391e-14|    3.216e-14|       37.947|             12.993|   0.551|             1.433e+44|           49|341.538972| 15.498528|  160.369|       85.738|  140.189|      102.241|  299.558|      189.664|      109.894|             18.638|    50630.1|    48888.5|    48981.8|  2.378e-03|        4.356e-04|  1.252e-03|        4.287e-04|  3.619e-03|        6.137e-04|1.809e-13|    3.067e-14|                     |                   |                    |MAN             |15 55 19.450|-33 15 06.60|T                   |
|NuSTAR J165104-0127.2|16 51 04.432|-01 27 15.15|2.337e-13|    3.089e-14|       82.320|             10.881|5.966e-13|    7.509e-14|       92.534|             11.647|   0.852|             2.571e+45|           51| 16.741706| 25.753620|  105.367|       23.048|  121.268|       28.733|  226.635|       51.891|      174.744|             15.728|    39105.6|    37531.6|    38817.8|  6.791e-03|        8.976e-04|  7.953e-03|        1.001e-03|  1.452e-02|        1.307e-03|7.258e-13|    6.533e-14|XMM                  |       16 51 04.728|        -01 27 16.47|MAN             |16 51 04.577|-01 27 15.91|T                   |
|NuSTAR J034901-1155.9|03 49 01.386|-11 55 56.77|6.488e-14|    2.286e-14|       42.864|             15.103|1.640e-13|   -9.900e+01|       40.289|            -99.000|        |                      |           14|201.794621|-45.762161|  173.781|      130.917|  179.862|      159.766|  353.463|      286.116|       67.347|             21.420|    36674.6|    29718.2|    30547.2|  1.885e-03|        6.642e-04|  2.187e-03|       -9.900e+01|  3.556e-03|        1.131e-03|1.777e-13|    5.653e-14|                     |                   |                    |                |            |            |E                   |
|NuSTAR J175307-0123.7|17 53 07.297|-01 23 42.83|7.176e-14|   -9.900e+01|       47.048|            -99.000|1.846e-13|    5.703e-14|       45.936|             14.190|   0.451|             1.760e+44|           55| 24.906403| 12.289718|  149.358|      122.949|  158.206|      112.270|  305.564|      232.868|       72.695|             19.623|    36394.3|    30105.3|    31073.3|  2.085e-03|       -9.900e+01|  2.461e-03|        7.602e-04|  3.773e-03|        1.019e-03|1.886e-13|    5.091e-14|XMM                  |       17 53 07.178|        -01 23 37.10|                |            |            |L                   |
|NuSTAR J090223-4039.4|09 02 23.992|-40 39 25.47|5.560e-13|    4.504e-14|      351.819|             28.501|7.675e-13|    9.767e-14|      185.647|             23.627|   0.087|             1.920e+43|           18|263.171209|  3.902887|  722.397|      370.578|  486.090|      300.443| 1206.487|      659.865|      546.622|             36.741|    35126.2|    29266.5|    29309.6|  1.615e-02|        1.309e-03|  1.023e-02|        1.302e-03|  3.008e-02|        2.022e-03|1.503e-12|    1.011e-13|XMM                  |       09 02 24.149|        -40 39 29.20|USNO            |09 02 24.069|-40 39 28.81|X                   |
|NuSTAR J120930-0500.1|12 09 30.166|-05 00 09.22|3.208e-14|   -9.900e+01|       20.131|            -99.000|5.670e-14|   -9.900e+01|       13.982|            -99.000|   0.391|            -3.879e+43|           32|283.859333| 56.308409|   65.574|       57.922|   76.824|       80.265|  141.398|      138.281|       22.906|            -99.000|    34833.5|    29833.0|    30972.9|  9.321e-04|       -9.900e+01|  7.559e-04|       -9.900e+01|  1.193e-03|       -9.900e+01|5.962e-14|   -9.900e+01|CXO                  |       12 09 30.166|        -05 00 09.22|                |            |            |L                   |
|NuSTAR J001844-1022.6|00 18 44.268|-10 22 40.90|2.930e-14|   -9.900e+01|       17.232|            -99.000|1.335e-13|   -9.900e+01|       33.538|            -99.000|   0.076|            -2.516e+42|            3| 96.682818|-71.563436|   62.209|       57.793|   71.056|       52.141|  132.265|      109.833|       41.531|            -99.000|    32648.8|    30384.1|    31564.0|  8.513e-04|       -9.900e+01|  1.780e-03|       -9.900e+01|  2.122e-03|       -9.900e+01|1.061e-13|   -9.900e+01|CXO                  |       00 18 44.795|        -10 22 40.69|SDSS            |00 18 44.800|-10 22 40.74|T                   |
|NuSTAR J165050-0126.6|16 50 50.726|-01 26 38.75|6.325e-14|    2.124e-14|       34.218|             11.490|1.307e-13|    5.561e-14|       28.275|             12.031|   0.791|             4.715e+44|           50| 16.718414| 25.807672|  102.453|       68.235|  111.100|       82.825|  213.552|      149.428|       64.125|             16.400|    30035.0|    26173.3|    27161.2|  1.838e-03|        6.170e-04|  1.742e-03|        7.414e-04|  3.808e-03|        9.739e-04|1.903e-13|    4.867e-14|XMM                  |       16 50 51.216|        -01 26 45.32|USNO            |16 50 51.083|-01 26 44.18|E                   |
|NuSTAR J224037+0802.6|22 40 37.334|+08 02 39.77|5.078e-14|   -9.900e+01|       26.905|            -99.000|1.705e-13|   -9.900e+01|       36.122|            -99.000|   1.418|            -1.020e+45|           64| 76.250454|-42.665888|   82.279|       69.240|   86.622|       66.505|  166.902|      135.497|       31.404|             14.603|    29413.2|    25631.6|    26602.9|  1.475e-03|       -9.900e+01|  2.273e-03|       -9.900e+01|  1.904e-03|        8.853e-04|9.516e-14|    4.425e-14|XMM                  |       22 40 37.826|        +08 02 32.06|SDSS            |22 40 37.725|+08 02 33.09|L                   |
|NuSTAR J130616-4930.8|13 06 16.404|-49 30 53.60|5.361e-14|    2.030e-14|       27.969|             10.592|1.764e-13|   -9.900e+01|       33.960|            -99.000|   0.284|            -5.804e+43|           45|305.405161| 13.285603|   94.509|       66.541|  100.177|       82.578|  193.686|      147.735|       45.951|             14.978|    28961.4|    23291.3|    23313.7|  1.558e-03|        5.899e-04|  2.352e-03|       -9.900e+01|  3.179e-03|        1.036e-03|1.589e-13|    5.179e-14|XMM                  |       13 06 16.404|        -49 30 53.60|USNO            |13 06 16.292|-49 30 54.71|E                   |
|NuSTAR J130157-6358.1|13 01 57.457|-63 58 11.79|1.553e-11|    1.983e-13|     6632.269|             84.684|2.713e-11|    4.323e-13|     4305.852|             68.607|   0.000|                      |           43|304.085934| -1.121767| 7048.142|      415.873| 4609.865|      304.013|11616.991|      717.020|    10899.971|            108.592|    23710.4|    19201.1|    19255.1|  4.512e-01|        5.761e-03|  3.617e-01|        5.763e-03|  9.130e-01|        9.096e-03|4.563e-11|    4.546e-13|XMM                  |       13 01 58.800|        -63 58 09.01|                |            |            |X                   |
|NuSTAR J023448-2936.6|02 34 48.289|-29 36 36.25|6.383e-14|    2.232e-14|       25.300|              8.845|1.177e-13|   -9.900e+01|       17.293|            -99.000|   0.313|            -4.829e+43|            7|225.277801|-67.173965|   59.141|       33.841|   57.263|       52.119|  116.403|       84.521|       31.882|             12.393|    22002.2|    17777.8|    18280.9|  1.855e-03|        6.484e-04|  1.569e-03|       -9.900e+01|  2.813e-03|        1.093e-03|1.406e-13|    5.465e-14|XMM                  |       02 34 48.720|        -29 36 25.45|USNO            |02 34 48.858|-29 36 24.70|E                   |
|NuSTAR J203348+2139.8|20 33 48.893|+21 39 48.60|5.212e-14|   -9.900e+01|       20.446|            -99.000|2.452e-13|   -9.900e+01|       35.233|            -99.000|        |                      |           61| 64.331362|-10.893609|   66.818|       58.861|   78.121|       58.166|  144.939|      115.895|       49.569|            -99.000|    21778.8|    17381.0|    17825.6|  1.514e-03|       -9.900e+01|  3.269e-03|       -9.900e+01|  4.485e-03|       -9.900e+01|2.242e-13|   -9.900e+01|                     |                   |                    |                |            |            |E                   |
|NuSTAR J121854+2958.0|12 18 54.181|+29 58 04.62|7.136e-14|    3.186e-14|       25.666|             11.460|2.766e-13|   -9.900e+01|       37.048|            -99.000|   0.175|            -3.099e+43|           36|189.344979| 82.314127|  105.272|       79.606|  110.261|       90.536|  214.533|      169.689|       44.844|             16.191|    19964.9|    16201.9|    16236.6|  2.073e-03|        9.258e-04|  3.688e-03|       -9.900e+01|  4.455e-03|        1.608e-03|2.226e-13|    8.038e-14|XMM                  |       12 18 54.672|        +29 58 06.96|SDSS            |12 18 54.685|+29 58 06.73|E                   |
|NuSTAR J091856+1618.7|09 18 56.115|+16 18 43.17|5.339e-14|   -9.900e+01|       16.754|            -99.000|1.752e-13|   -9.900e+01|       19.913|            -99.000|        |                      |           19|213.874801| 39.838198|   41.780|       35.126|   49.168|       39.881|   90.948|       74.685|       31.741|            -99.000|    17420.1|    13747.7|    13995.8|  1.551e-03|       -9.900e+01|  2.336e-03|       -9.900e+01|  3.658e-03|       -9.900e+01|1.828e-13|   -9.900e+01|                     |                   |                    |                |            |            |E                   |
|NuSTAR J023459-2944.6|02 34 59.667|-29 44 36.91|5.308e-14|   -9.900e+01|       16.004|            -99.000|2.576e-13|   -9.900e+01|       28.007|            -99.000|   0.446|            -2.393e+44|            8|225.621591|-67.132662|   36.044|       29.467|   49.924|       34.361|   85.968|       63.449|       22.519|             10.714|    16737.1|    13153.3|    13421.3|  1.542e-03|       -9.900e+01|  3.434e-03|       -9.900e+01|  2.706e-03|        1.288e-03|1.353e-13|    6.435e-14|XMM                  |       02 34 59.935|        -29 44 34.55|USNO            |02 34 59.987|-29 44 34.54|E                   |
|NuSTAR J120711+3348.4|12 07 11.287|+33 48 28.27|9.932e-14|    3.261e-14|       27.789|              9.124|2.194e-13|   -9.900e+01|       22.392|            -99.000|   0.135|            -1.399e+43|           31|175.202038| 78.370395|   64.079|       36.290|   52.318|       41.432|  116.398|       76.997|       39.401|             12.224|    15532.0|    12349.9|    12679.7|  2.886e-03|        9.475e-04|  2.924e-03|       -9.900e+01|  5.012e-03|        1.555e-03|2.505e-13|    7.772e-14|XRT                  |       12 07 11.093|        +33 48 44.71|SDSS            |12 07 11.245|+33 48 41.71|E                   |
|NuSTAR J143256-4419.3|14 32 56.233|-44 19 22.07|4.922e-13|    5.784e-14|      127.463|             14.979|2.615e-13|   -9.900e+01|       24.947|            -99.000|   0.119|            -1.272e+43|           48|321.426250| 14.873585|  200.136|       72.672|   58.838|       46.364|  258.974|      117.461|      141.513|             17.052|    14375.3|    11542.1|    11654.4|  1.430e-02|        1.681e-03|  3.486e-03|       -9.900e+01|  1.958e-02|        2.360e-03|9.788e-13|    1.179e-13|XMM                  |       14 32 52.901|        -44 19 18.01|USNO            |14 32 52.937|-44 19 17.86|X                   |
